year,predator,prey,label,colors
1986,0.05,1.72976,RHAU_SFI,Black
1987,-0.66,0.0716041,RHAU_SFI,Black
1988,1.76,0.4993149,RHAU_SFI,Black
1989,1.19,-0.696155,RHAU_SFI,Black
1990,-0.94,-1.203782,RHAU_SFI,Black
1991,-0.09,0.0764031,RHAU_SFI,Black
1992,0.9,-0.6989505,RHAU_SFI,Black
1993,-0.52,-0.7236675,RHAU_SFI,Black
1994,0.34,0.1558482,RHAU_SFI,Black
1995,-0.09,-0.5413839,RHAU_SFI,Black
1996,-0.52,0.433058,RHAU_SFI,Black
1997,0.05,-0.0071301,RHAU_SFI,Black
1998,-3.65,-0.6666944,RHAU_SFI,Black
1999,0.34,-0.1429245,RHAU_SFI,Black
2000,0.62,-0.1457347,RHAU_SFI,Black
2001,0.48,0.4668486,RHAU_SFI,Black
2002,0.48,-0.1557166,RHAU_SFI,Black
2003,-0.52,-0.2945628,RHAU_SFI,Black
2004,0.34,1.045626,RHAU_SFI,Black
2005,-1.37,2.511051,RHAU_SFI,Black
2006,-0.66,1.954358,RHAU_SFI,Black
2007,-0.09,0.2393916,RHAU_SFI,Black
2008,0.9,-0.0025067,RHAU_SFI,Black
2009,0.34,-1.111921,RHAU_SFI,Black
2010,1.05,-1.166606,RHAU_SFI,Black
2011,0.19,-1.114665,RHAU_SFI,Black
