"pred","prey","edf"
"BRAC.SFI","anchovy.biomass","2.56058706801504"
"BRAC.ANI","anchovy.biomass","2.00000000001325"
"BRAC.ALZ","anchovy.biomass","2.8337089946441"
"COMU.SFI","anchovy.biomass","2.16257941383701"
"RHAU.SFI","anchovy.biomass","2.00000000010615"
"RHAU.ANI","anchovy.biomass","2.00000000003499"
"BRPE.SBI","anchovy.biomass","2.2517239806021"
"BRPE.ANA","anchovy.biomass","2.55005301649651"
"LETE.VB","anchovy.biomass","2.79870627652588"
"CASL.SMI","anchovy.biomass","2.00000000573955"
"CASL.SCI","anchovy.biomass","2.46543434978382"
"CASL_SBI","anchovy.biomass","2.00000000003711"
"CASL.SNI","anchovy.biomass","2.49951482816035"
"COMU.SFI","rockfish.jrssurvey","2.00000000003594"
"RHAU.SFI","rockfish.jrssurvey","2.00000000003614"
"RHAU.ANI","rockfish.jrssurvey","2.00000000012841"
"PECO.SFI","rockfish.jrssurvey","2.00000000009829"
"PECO.ANI","rockfish.jrssurvey","2.00000000015303"
"PIGU.SFI","rockfish.jrssurvey","2.13179668319462"
"SALM.SAC","rockfish.jrssurvey","2.26564826245413"
"CASL.SMI","sardine.biomass","2.00000000003611"
"SALM.SAC","sardine.biomass","2.00000000004646"
"COMU.SFI","squid.ichthyo","2.00000000001347"
"RHAU.SFI","squid.ichthyo","2.2443953816306"
"RHAU.ANI","squid.ichthyo","2.00000000003668"
"CASL.SMI","squid.ichthyo","2.51454574064098"
